Family	Genus	Scientific name	Adult survival	Age at first breeding	Maximum longevity	Z	GenFLS	GenFL	GenFS	GenLength	Priority for research
Mitrospingidae	Orthogonys	Orthogonys chloricterus	0,680630778	1,26125527	9,445638742	0,142143345	3,101168746	2,424610913	3,392427378	3,101168746	Low
Cardinalidae	Pheucticus	Pheucticus chrysopeplus	0,641663192	1,129801429	12,71841136	0,142143345	2,879706264	2,777045208	2,920472043	2,879706264	Low
Cardinalidae	Pheucticus	Pheucticus tibialis	0,719746401	1,264456253	12,54331359	0,142143345	3,649269505	2,867670763	3,83265307	3,649269505	Low
Cardinalidae	Pheucticus	Pheucticus chrysogaster	0,639106939	1,060210262	11,56797654	0,142143345	2,775127452	2,553819309	2,831114189	2,775127452	Low
Cardinalidae	Pheucticus	Pheucticus aureoventris	0,602333333	1,03398055	11,58425772	0,142143345	2,521220095	2,533632238	2,54864945	2,533632238	Low
Cardinalidae	Pheucticus	Pheucticus ludovicianus	0,585415546	1,00209945	12,92	0,142143345	2,401811084	2,6961497	2,414153231	2,6961497	Low
Cardinalidae	Pheucticus	Pheucticus melanocephalus	0,606148996	1,086165427	11,92	0,142143345	2,59560266	2,626122912	2,625196659	2,626122912	Low
Cardinalidae	Granatellus	Granatellus venustus	0,605451203	0,979910483	7,294034655	0,142143345	2,299271585	1,877421214	2,514451223	2,299271585	Low
Cardinalidae	Granatellus	Granatellus francescae	0,590499309	1,144208007	9,97001009	0,142143345	2,534393376	2,398737037	2,586206328	2,534393376	Low
Cardinalidae	Granatellus	Granatellus sallaei	0,601221145	0,963611255	7,157475141	0,142143345	2,266693949	1,844027786	2,471266783	2,266693949	Low
Cardinalidae	Granatellus	Granatellus pelzelni	0,586753513	0,947174849	7,04759738	0,142143345	2,195321235	1,814309313	2,36703813	2,195321235	Low
Cardinalidae	Granatellus	Granatellus paraensis	0,590499309	1,144208007	9,97001009	0,142143345	2,534393376	2,398737037	2,586206328	2,534393376	Low
Cardinalidae	Spiza	Spiza americana	0,535427511	1,016068588	7,047565248	0,142143345	2,079148346	1,873405699	2,1685852	2,079148346	Low
Cardinalidae	Passerina	Passerina cyanea	0,513244646	1,041896734	13,25	0,142143345	2,094087226	2,777197368	2,096316869	2,777197368	Low
Cardinalidae	Passerina	Passerina caerulea	0,622	1,499863089	11,04978751	0,142143345	3,085739873	2,857321291	3,145365735	3,085739873	Low
Cardinalidae	Passerina	Passerina amoena	0,544575947	1,069738466	10,01492108	0,142143345	2,242501978	2,341236644	2,265494253	2,341236644	Low
Cardinalidae	Passerina	Passerina rositae	0,554075625	1,078781417	10,40114111	0,142143345	2,293969229	2,403892807	2,321314133	2,403892807	Low
Cardinalidae	Passerina	Passerina leclancherii	0,527470875	1,007100582	9,765273773	0,142143345	2,106672519	2,252016615	2,123372251	2,252016615	Low
Cardinalidae	Passerina	Passerina versicolor	0,545302045	1,093165764	8,476838899	0,142143345	2,229390891	2,142705762	2,292427909	2,229390891	Low
Cardinalidae	Passerina	Passerina ciris	0,576	1,053505141	11	0,142143345	2,386465944	2,467333191	2,411995707	2,467333191	Low
Cardinalidae	Cyanocompsa	Cyanocompsa parellina	0,617213614	1,209635729	10,83333333	0,142143345	2,767314504	2,577580297	2,822058836	2,767314504	Low
Cardinalidae	Amaurospiza	Amaurospiza relicta	0,590499309	1,144208007	9,97001009	0,142143345	2,534393376	2,398737037	2,586206328	2,534393376	Low
Cardinalidae	Amaurospiza	Amaurospiza moesta	0,614248915	1,077848928	9,320176076	0,142143345	2,556750043	2,249440879	2,670194196	2,556750043	Low
Cardinalidae	Cyanoloxia	Cyanoloxia cyanoides	0,604666667	1,144208007	9,97001009	0,142143345	2,607952104	2,398737037	2,67371897	2,607952104	Low
Cardinalidae	Cyanoloxia	Cyanoloxia rothschildii	0,607833333	1,144208007	9,97001009	0,142143345	2,624826391	2,398737037	2,694144256	2,624826391	Low
Cardinalidae	Cyanoloxia	Cyanoloxia brissonii	0,621628165	1,27231525	10,2439485	0,142143345	2,82830906	2,54757321	2,915218097	2,82830906	Low
Cardinalidae	Cyanoloxia	Cyanoloxia glaucocaerulea	0,577261995	1,054602767	8,900824468	0,142143345	2,355613039	2,169890965	2,420134108	2,355613039	Low
Cardinalidae	Habia	Habia fuscicauda	0,676656493	1,314532499	9,243457552	0,142143345	3,131371959	2,441576428	3,407218693	3,131371959	Low
Cardinalidae	Habia	Habia gutturalis	0,709554732	1,393211018	9,21849155	0,142143345	3,406287268	2,505522568	3,83620049	3,406287268	Low
Cardinalidae	Habia	Habia atrimaxillaris	0,711345343	1,311058431	9,445775549	0,142143345	3,335146688	2,467354333	3,775405795	3,335146688	Low
Cardinalidae	Habia	Habia cristata	0,700558884	1,244506151	8,896448378	0,142143345	3,202762706	2,332178815	3,584060897	3,202762706	Low
Cardinalidae	Habia	Habia rubica	0,69	1,332781797	8,927874219	0,142143345	3,227792042	2,412373639	3,558588249	3,227792042	Low
Cardinalidae	Habia	Habia carmioli	0,69	1,144208007	9,97001009	0,142143345	3,11926114	2,398737037	3,370014459	3,11926114	Low
Cardinalidae	Habia	Habia frenata	0,69	1,144208007	9,97001009	0,142143345	3,11926114	2,398737037	3,370014459	3,11926114	Low
